"number","value","datetime_start","datetime_complete","duration","params_architecture","params_batch_size","params_learning_rate","params_pretrained","system_attrs_completed_rung_0","system_attrs_completed_rung_1","system_attrs_completed_rung_2","system_attrs_completed_rung_3","system_attrs_completed_rung_4","state"
25,0.00230466295033693,"2021-10-02 00:22:39.927983","2021-10-02 02:33:03.187291","0 days 02:10:23.259308","resnet18",16,0.00034664640432471,"True",0.0122080333530903,0.0119076864793897,0.0109271043911576,0.00394659768790007,NA,"COMPLETE"
4,0.00269655510783195,"2021-09-30 19:10:14.773492","2021-09-30 21:09:16.535793","0 days 01:59:01.762301","resnet18",32,2.69665212845098e-05,"False",0.0343982353806496,0.035536415874958,NA,NA,NA,"COMPLETE"
313,0.00304770702496171,"2021-10-06 08:58:05.561097","2021-10-06 12:34:30.103230","0 days 03:36:24.542133","resnet34",16,0.00280905478272268,"True",0.00846833642572165,0.0118064219132066,0.00351777230389416,NA,NA,"COMPLETE"
86,0.00310001196339726,"2021-10-02 19:05:38.038646","2021-10-02 22:44:27.951841","0 days 03:38:49.913195","resnet34",16,1.98439730017469e-05,"True",0.00175055430736393,NA,NA,NA,NA,"COMPLETE"
101,0.00397406984120607,"2021-10-03 02:33:25.123303","2021-10-03 04:43:45.204500","0 days 02:10:20.081197","resnet18",16,0.00144057204516647,"False",0.0048487582243979,0.00454713497310877,0.00405569141730666,0.00564479362219572,0.00411118660122156,"COMPLETE"
